species,CommonName,ScientificName,MigStatus,Introduced,trendyr,trendsource,lcl_90CI,ucl_90CI,BreedingBiome,NonbreedingBiome,PrimaryBreedingHabitat,SecondaryBreedingHabitat,PrimaryNonbreedingHabitat,SecondaryNonbreedingHabitat,IOC,LatinBirdLifeIOCClements,English,Gilletal2020IOCWorldBirdListv102,HBWandBirdLifeInternational2019,eBirdClementsChecklistv2019
Fratercula corniculata,Horned Puffin,Fratercula corniculata,PM,NA,NA,,NA,NA,Arctic,Temperate Northern Pacific,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,,7221,Fratercula corniculata,Horned Puffin,Fratercula corniculata,Fratercula corniculata,Fratercula corniculata
Fratercula cirrhata,Tufted Puffin,Fratercula cirrhata,PM,NA,NA,,NA,NA,Pacific North America,Pacific North America,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,,7222,Fratercula cirrhata,Tufted Puffin,Fratercula cirrhata,Fratercula cirrhata,Fratercula cirrhata
Rissa tridactyla,Black-legged Kittiwake,Rissa tridactyla,PM,NA,-2.0967205,CBC7017,-4.972131,1.1520316,Arctic,Nearctic,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,Oceans—Pelagic,6902,Rissa tridactyla,Black-legged Kittiwake,Rissa tridactyla,Rissa tridactyla,Rissa tridactyla
Rissa brevirostris,Red-legged Kittiwake,Rissa brevirostris,M,NA,NA,,NA,NA,Arctic,Temperate Northern Pacific,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,,6905,Rissa brevirostris,Red-legged Kittiwake,Rissa brevirostris,Rissa brevirostris,Rissa brevirostris
Pagophila eburnea,Ivory Gull,Pagophila eburnea,M,NA,NA,,NA,NA,Arctic,Arctic,Coasts—Cliffs and Islands,Coasts—Marine Waters,Oceans—Arctic Polynyas,,6906,Pagophila eburnea,Ivory Gull,Pagophila eburnea,Pagophila eburnea,Pagophila eburnea
Xema sabini,Sabine's Gull,Xema sabini,M,NA,NA,,NA,NA,Arctic,Widespread,Wetlands—Tundra,,Oceans—Pelagic,,6907,Xema sabini,Sabine's Gull,Xema sabini,Xema sabini,Xema sabini
Hydrocoloeus minutus,Little Gull,Hydrocoloeus minutus,M,NA,NA,,NA,NA,Palearctic,Palearctic,Wetlands—Freshwater Marsh,,Coasts—Marine Waters,Wetlands—Lakes and Rivers,6932,Hydrocoloeus minutus,Little Gull,Hydrocoloeus minutus,Hydrocoloeus minutus,Hydrocoloeus minutus
Rhodostethia rosea,Ross's Gull,Rhodostethia rosea,M,NA,NA,,NA,NA,Arctic,Arctic,Wetlands—Tundra,,Coasts—Marine Waters,,6933,Rhodostethia rosea,Ross's Gull,Rhodostethia rosea,Rhodostethia rosea,Rhodostethia rosea
Larus heermanni,Heermann's Gull,Larus heermanni,PM,NA,NA,,NA,NA,Pacific North America,Pacific North America,Coasts—Beach and Estuary,Coasts—Marine Waters,Coasts—Beach and Estuary,Coasts—Marine Waters,6955,Larus heermanni,Heermann's Gull,Larus heermanni,Larus heermanni,Larus heermanni
Larus canus,Mew Gull,Larus canus,M,NA,-1.6005855,CBC7017,-3.5214237,-0.7237637,Arctic,Pacific North America,Wetlands—Generalist,,Coasts—Beach and Estuary,Coasts—Marine Waters,6956,Larus canus,Mew Gull,Larus canus,Larus canus,Larus canus
Larus delawarensis,Ring-billed Gull,Larus delawarensis,M,NA,1.538,BBS7017,0.94,2.21,Nearctic,Nearctic,Wetlands—Generalist,,Wetlands—Lakes and Rivers,Coasts—Beach and Estuary,6961,Larus delawarensis,Ring-billed Gull,Larus delawarensis,Larus delawarensis,Larus delawarensis
Larus occidentalis,Western Gull,Larus occidentalis,PM,NA,-2.07,BBS7017,-4.24,0.18,Pacific North America,Pacific North America,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Beach and Estuary,Coasts—Marine Waters,6974,Larus occidentalis,Western Gull,Larus occidentalis,Larus occidentalis,Larus occidentalis
Larus livens,Yellow-footed Gull,Larus livens,R,NA,NA,,NA,NA,Pacific North America,Pacific North America,Coasts—Beach and Estuary,Coasts—Marine Waters,Coasts—Beach and Estuary,Coasts—Marine Waters,6977,Larus livens,Yellow-footed Gull,Larus livens,Larus livens,Larus livens
Larus californicus,California Gull,Larus californicus,M,NA,-1.59,BBS7017,-3.01,-0.15,Western Temperate,Western Temperate,Coasts—Beach and Estuary,Wetlands—Lakes and Rivers,Coasts—Beach and Estuary,Coasts—Marine Waters,6962,Larus californicus,California Gull,Larus californicus,Larus californicus,Larus californicus
Larus argentatus,Herring Gull,Larus argentatus,PM,NA,-3.92,BBS7017,-5.22,-2.9,Nearctic,Widespread,Coasts—Beach and Estuary,Wetlands—Lakes and Rivers,Coasts—Beach and Estuary,Coasts—Marine Waters,6989,Larus argentatus,European Herring Gull,Larus argentatus,Larus argentatus,Larus argentatus
Larus glaucoides,Iceland Gull,Larus glaucoides,M,NA,NA,,NA,NA,Arctic,Nearctic,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Beach and Estuary,Coasts—Marine Waters,6984,Larus glaucoides,Iceland Gull,Larus glaucoides,Larus glaucoides,Larus glaucoides
Larus fuscus,Lesser Black-backed Gull,Larus fuscus,M,NA,NA,,NA,NA,Palearctic,Widespread,Coasts—Beach and Estuary,Coasts—Marine Waters,Coasts—Beach and Estuary,Coasts—Marine Waters,7007,Larus fuscus,Lesser Black-backed Gull,Larus fuscus,Larus fuscus,Larus fuscus
Larus schistisagus,Slaty-backed Gull,Larus schistisagus,M,NA,NA,,NA,NA,Palearctic,Palearctic,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Beach and Estuary,Coasts—Marine Waters,7006,Larus schistisagus,Slaty-backed Gull,Larus schistisagus,Larus schistisagus,Larus schistisagus
Larus glaucescens,Glaucous-winged Gull,Larus glaucescens,PM,NA,-0.564,BBS7017,-2.19,1.17,Pacific North America,Pacific North America,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Beach and Estuary,Coasts—Marine Waters,6973,Larus glaucescens,Glaucous-winged Gull,Larus glaucescens,Larus glaucescens,Larus glaucescens
Larus hyperboreus,Glaucous Gull,Larus hyperboreus,M,NA,-2.8392676,CBC7017,-5.1955034,-0.5335998,Arctic,Nearctic,Coasts—Cliffs and Islands,Wetlands—Tundra,Coasts—Beach and Estuary,Coasts—Marine Waters,6979,Larus hyperboreus,Glaucous Gull,Larus hyperboreus,Larus hyperboreus,Larus hyperboreus
Larus marinus,Great Black-backed Gull,Larus marinus,PM,NA,-2.811,BBS7017,-5.96,-1.01,Northern Forest,Eastern Temperate,Coasts—Beach and Estuary,Wetlands—Lakes and Rivers,Coasts—Beach and Estuary,Coasts—Marine Waters,6965,Larus marinus,Great Black-backed Gull,Larus marinus,Larus marinus,Larus marinus
Anous stolidus,Brown Noddy,Anous stolidus,M,NA,NA,,NA,NA,Pantropical,Pantropical,Islands—Oceanic,,Oceans—Pelagic,,6858,Anous stolidus,Brown Noddy,Anous stolidus,Anous stolidus,Anous stolidus
Anous minutus,Black Noddy,Anous minutus,M,NA,NA,,NA,NA,Pantropical,Pantropical,Islands—Oceanic,,Oceans—Pelagic,,6867,Anous minutus,Black Noddy,Anous minutus,Anous minutus,Anous minutus
Onychoprion fuscatus,Sooty Tern,Onychoprion fuscatus,M,NA,NA,,NA,NA,Pantropical,Pantropical,Coasts—Beach and Estuary,Islands—Oceanic,Oceans—Pelagic,,7081,Onychoprion fuscatus,Sooty Tern,Onychoprion fuscatus,Onychoprion fuscatus,Onychoprion fuscatus
Onychoprion anaethetus,Bridled Tern,Onychoprion anaethetus,M,NA,NA,,NA,NA,Pantropical,Pantropical,Islands—Oceanic,,Oceans—Pelagic,,7074,Onychoprion anaethetus,Bridled Tern,Onychoprion anaethetus,Onychoprion anaethetus,Onychoprion anaethetus
Onychoprion aleuticus,Aleutian Tern,Onychoprion aleuticus,M,NA,NA,,NA,NA,Arctic,Eastern Indo-Pacific,Coasts—Beach and Estuary,Wetlands—Freshwater Marsh,Coasts—Beach and Estuary,Coasts—Marine Waters,7072,Onychoprion aleuticus,Aleutian Tern,Onychoprion aleuticus,Onychoprion aleuticus,Onychoprion aleuticus
Sternula antillarum,Least Tern,Sternula antillarum,M,NA,-3.606,BBS7017,-5.08,-2.05,Nearctic,Neotropical,Coasts—Beach and Estuary,Wetlands—Lakes and Rivers,Coasts—Beach and Estuary,,7060,Sternula antillarum,Least Tern,Sternula antillarum,Sternula antillarum,Sternula antillarum
Gelochelidon nilotica,Gull-billed Tern,Gelochelidon nilotica,PM,NA,1.287,BBS7017*,-1.32,4.31,Widespread,Neotropical,Coasts—Beach and Estuary,Wetlands—Freshwater Marsh,Coasts—Beach and Estuary,Wetlands—Freshwater Marsh,7015,Gelochelidon nilotica,Common Gull-billed Tern,Gelochelidon nilotica,Gelochelidon nilotica,Gelochelidon nilotica
Hydroprogne caspia,Caspian Tern,Hydroprogne caspia,M,NA,0.903,BBS7017,-0.31,2.01,Nearctic,Widespread,Wetlands—Lakes and Rivers,,Coasts—Beach and Estuary,,7024,Hydroprogne caspia,Caspian Tern,Hydroprogne caspia,Hydroprogne caspia,Hydroprogne caspia
Chlidonias niger,Black Tern,Chlidonias niger,M,NA,-1.919,BBS7017,-2.68,-1.18,Nearctic,Tropical Eastern Pacific,Wetlands—Freshwater Marsh,,Oceans—Pelagic,Coasts—Marine Waters,7137,Chlidonias niger,Black Tern,Chlidonias niger,Chlidonias niger,Chlidonias niger
Sterna dougallii,Roseate Tern,Sterna dougallii,PM,NA,NA,,NA,NA,Widespread,Widespread,Coasts—Beach and Estuary,Coasts—Marine Waters,Oceans—Pelagic,Coasts—Marine Waters,7091,Sterna dougallii,Roseate Tern,Sterna dougallii,Sterna dougallii,Sterna dougallii
Sterna hirundo,Common Tern,Sterna hirundo,M,NA,-2.096,BBS7017,-3.48,-0.38,Nearctic,Neotropical,Coasts—Beach and Estuary,Wetlands—Lakes and Rivers,Coasts—Beach and Estuary,Coasts—Marine Waters,7105,Sterna hirundo,Common Tern,Sterna hirundo,Sterna hirundo,Sterna hirundo
Sterna paradisaea,Arctic Tern,Sterna paradisaea,M,NA,-2.220469,BBS9317,-4.309026,-0.330086,Arctic,Southern Ocean,Wetlands—Tundra,Forests—Boreal,Coasts—Marine Waters,Oceans—Pelagic,7111,Sterna paradisaea,Arctic Tern,Sterna paradisaea,Sterna paradisaea,Sterna paradisaea
Sterna forsteri,Forster's Tern,Sterna forsteri,M,NA,-1.391,BBS7017,-2.57,-0.21,Great Plains,Nearctic,Wetlands—Freshwater Marsh,,Coasts—Beach and Estuary,Wetlands—Freshwater Marsh,7123,Sterna forsteri,Forster's Tern,Sterna forsteri,Sterna forsteri,Sterna forsteri
Thalasseus maximus,Royal Tern,Thalasseus maximus,PM,NA,0.517,BBS7017,-1.87,4.26,Widespread,Widespread,Coasts—Beach and Estuary,Coasts—Marine Waters,Coasts—Beach and Estuary,Coasts—Marine Waters,7027,Thalasseus maximus,Royal Tern,Thalasseus maximus,Thalasseus maximus,Thalasseus maximus
Thalasseus sandvicensis,Sandwich Tern,Thalasseus sandvicensis,PM,NA,1.3760293,CBC7017*,0.4346828,2.0827504,Widespread,Widespread,Coasts—Beach and Estuary,Coasts—Marine Waters,Coasts—Beach and Estuary,Coasts—Marine Waters,7044,Thalasseus sandvicensis,Sandwich Tern,Thalasseus sandvicensis,Thalasseus sandvicensis,Thalasseus sandvicensis
Thalasseus elegans,Elegant Tern,Thalasseus elegans,M,NA,NA,,NA,NA,Pacific North America,Pacific North America,Coasts—Beach and Estuary,Coasts—Marine Waters,Coasts—Beach and Estuary,Coasts—Marine Waters,7050,Thalasseus elegans,Elegant Tern,Thalasseus elegans,Thalasseus elegans,Thalasseus elegans
Rynchops niger,Black Skimmer,Rynchops niger,PM,NA,-3.119,BBS7017,-6.49,-0.86,Widespread,Widespread,Coasts—Beach and Estuary,Coasts—Saltmarsh,Coasts—Beach and Estuary,Coasts—Saltmarsh,6894,Rynchops niger,Black Skimmer,Rynchops niger,Rynchops niger,Rynchops niger
Eurypyga helias,Sunbittern,Eurypyga helias,R,NA,NA,,NA,NA,Neotropical,Neotropical,Wetlands—Forested,Forests—Tropical Lowland Evergreen,Wetlands—Forested,Forests—Tropical Lowland Evergreen,7224,Eurypyga helias,Sunbittern,Eurypyga helias,Eurypyga helias,Eurypyga helias
Phaethon lepturus,White-tailed Tropicbird,Phaethon lepturus,M,NA,NA,,NA,NA,Pantropical,Pantropical,Islands—Oceanic,,Oceans—Pelagic,,7237,Phaethon lepturus,White-tailed Tropicbird,Phaethon lepturus,Phaethon lepturus,Phaethon lepturus
Phaethon aethereus,Red-billed Tropicbird,Phaethon aethereus,PM,NA,NA,,NA,NA,Pantropical,Pantropical,Islands—Oceanic,,Oceans—Pelagic,Coasts—Marine Waters,7228,Phaethon aethereus,Red-billed Tropicbird,Phaethon aethereus,Phaethon aethereus,Phaethon aethereus
Phaethon rubricauda,Red-tailed Tropicbird,Phaethon rubricauda,M,NA,NA,,NA,NA,Eastern Indo-Pacific,Eastern Indo-Pacific,Islands—Oceanic,,Oceans—Pelagic,,7232,Phaethon rubricauda,Red-tailed Tropicbird,Phaethon rubricauda,Phaethon rubricauda,Phaethon rubricauda
Gavia stellata,Red-throated Loon,Gavia stellata,M,NA,1.272872,BBS9317*,-1.13077,4.390577,Arctic,Nearctic,Wetlands—Tundra,Wetlands—Boreal,Coasts—Marine Waters,,7244,Gavia stellata,Red-throated Loon,Gavia stellata,Gavia stellata,Gavia stellata
Gavia arctica,Arctic Loon,Gavia arctica,M,NA,NA,,NA,NA,Palearctic,Palearctic,Wetlands—Lakes and Rivers,Wetlands—Tundra,Coasts—Marine Waters,,7245,Gavia arctica,Arctic Loon,Gavia arctica,Gavia arctica,Gavia arctica
Gavia pacifica,Pacific Loon,Gavia pacifica,M,NA,1.0694387,CBC7017,0.1562873,2.3233677,Arctic,Pacific North America,Wetlands—Tundra,,Coasts—Marine Waters,,7248,Gavia pacifica,Pacific Loon,Gavia pacifica,Gavia pacifica,Gavia pacifica
Gavia immer,Common Loon,Gavia immer,M,NA,0.777,BBS7017,0.04,1.23,Northern Forest,Nearctic,Wetlands—Lakes and Rivers,,Coasts—Marine Waters,Wetlands—Lakes and Rivers,7250,Gavia immer,Common Loon,Gavia immer,Gavia immer,Gavia immer
Gavia adamsii,Yellow-billed Loon,Gavia adamsii,M,NA,-3.3564752,CBC7017,-5.4559843,-1.166946,Arctic,Pacific North America,Wetlands—Tundra,Wetlands—Lakes and Rivers,Coasts—Marine Waters,,7251,Gavia adamsii,Yellow-billed Loon,Gavia adamsii,Gavia adamsii,Gavia adamsii
Phoebastria immutabilis,Laysan Albatross,Phoebastria immutabilis,M,NA,NA,,NA,NA,Temperate Northern Pacific,Temperate Northern Pacific,Islands—Oceanic,,Oceans—Pelagic,,7314,Phoebastria immutabilis,Laysan Albatross,Phoebastria immutabilis,Phoebastria immutabilis,Phoebastria immutabilis
Phoebastria nigripes,Black-footed Albatross,Phoebastria nigripes,M,NA,NA,,NA,NA,Temperate Northern Pacific,Temperate Northern Pacific,Islands—Oceanic,,Oceans—Pelagic,,7315,Phoebastria nigripes,Black-footed Albatross,Phoebastria nigripes,Phoebastria nigripes,Phoebastria nigripes
Phoebastria albatrus,Short-tailed Albatross,Phoebastria albatrus,M,NA,NA,,NA,NA,Temperate Northern Pacific,Temperate Northern Pacific,Islands—Oceanic,,Oceans—Pelagic,,7317,Phoebastria albatrus,Short-tailed Albatross,Phoebastria albatrus,Phoebastria albatrus,Phoebastria albatrus
Oceanites oceanicus,Wilson's Storm-Petrel,Oceanites oceanicus,M,NA,NA,,NA,NA,Southern Ocean,Widespread,Islands—Oceanic,,Oceans—Pelagic,,7288,Oceanites oceanicus,Wilson's Storm-petrel,Oceanites oceanicus,Oceanites oceanicus,Oceanites oceanicus
Pelagodroma marina,White-faced Storm-Petrel,Pelagodroma marina,M,NA,NA,,NA,NA,Temperate Northern Atlantic,Temperate Northern Atlantic,Islands—Oceanic,,Oceans—Pelagic,,7297,Pelagodroma marina,White-faced Storm-petrel,Pelagodroma marina,Pelagodroma marina,Pelagodroma marina
Hydrobates furcatus,Fork-tailed Storm-Petrel,Hydrobates furcatus,PM,NA,NA,,NA,NA,Temperate Northern Pacific,Temperate Northern Pacific,Coasts—Cliffs and Islands,Coasts—Marine Waters,Oceans—Pelagic,Coasts—Marine Waters,7381,Hydrobates furcatus,Fork-tailed Storm-petrel,Oceanodroma furcata,Hydrobates furcatus,Oceanodroma furcata
Hydrobates leucorhous,Leach's Storm-Petrel,Hydrobates leucorhous,M,NA,NA,,NA,NA,Nearctic,Widespread,Coasts—Cliffs and Islands,Coasts—Marine Waters,Oceans—Pelagic,,7366,Hydrobates leucorhous,Leach's Storm-petrel,Oceanodroma leucorhoa,Hydrobates leucorhous,Oceanodroma leucorhoa
Hydrobates socorroensis,Townsend's Storm-Petrel,Hydrobates socorroensis,M,NA,NA,,NA,NA,Tropical Eastern Pacific,Tropical Eastern Pacific,Islands—Oceanic,Coasts—Marine Waters,Oceans—Pelagic,,7370,Hydrobates socorroensis,Townsend's Storm-petrel,Oceanodroma socorroensis,Hydrobates socorroensis,Oceanodroma socorroensis
Hydrobates cheimomnestes,Ainley's Storm-Petrel,Hydrobates cheimomnestes,M,NA,NA,,NA,NA,Tropical Eastern Pacific,Tropical Eastern Pacific,Islands—Oceanic,Coasts—Marine Waters,Oceans—Pelagic,,7372,Hydrobates cheimomnestes,Ainley's Storm-petrel,Oceanodroma cheimomnestes,Hydrobates cheimomnestes,Oceanodroma cheimomnestes
Hydrobates homochroa,Ashy Storm-Petrel,Hydrobates homochroa,M,NA,NA,,NA,NA,Pacific North America,Temperate Northern Pacific,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,,7379,Hydrobates homochroa,Ashy Storm-petrel,Oceanodroma homochroa,Hydrobates homochroa,Oceanodroma homochroa
Hydrobates castro,Band-rumped Storm-Petrel,Hydrobates castro,M,NA,NA,,NA,NA,Pantropical,Pantropical,Islands—Oceanic,,Oceans—Pelagic,,7361,Hydrobates castro,Band-rumped Storm-petrel,Oceanodroma castro,Hydrobates castro,Oceanodroma castro
Hydrobates tethys,Wedge-rumped Storm-Petrel,Hydrobates tethys,M,NA,NA,,NA,NA,Tropical Eastern Pacific,Tropical Eastern Pacific,Islands—Oceanic,,Oceans—Pelagic,,7358,Hydrobates tethys,Wedge-rumped Storm-petrel,Oceanodroma tethys,Hydrobates tethys,Oceanodroma tethys
Hydrobates melania,Black Storm-Petrel,Hydrobates melania,PM,NA,NA,,NA,NA,Temperate Northern Pacific,Temperate Northern Pacific,Coasts—Cliffs and Islands,Coasts—Marine Waters,Oceans—Pelagic,Coasts—Marine Waters,7376,Hydrobates melania,Black Storm-petrel,Oceanodroma melania,Hydrobates melania,Oceanodroma melania
Hydrobates microsoma,Least Storm-Petrel,Hydrobates microsoma,PM,NA,NA,,NA,NA,Temperate Northern Pacific,Temperate Northern Pacific,Coasts—Cliffs and Islands,Coasts—Marine Waters,Oceans—Pelagic,Coasts—Marine Waters,7357,Hydrobates microsoma,Least Storm-petrel,Oceanodroma microsoma,Hydrobates microsoma,Oceanodroma microsoma
Fulmarus glacialis,Northern Fulmar,Fulmarus glacialis,PM,NA,-1.7015555,CBC7017,-3.2169214,-0.0262478,Arctic,Temperate Northern Oceans,Coasts—Cliffs and Islands,Coasts—Marine Waters,Oceans—Pelagic,,7386,Fulmarus glacialis,Northern Fulmar,Fulmarus glacialis,Fulmarus glacialis,Fulmarus glacialis
Pterodroma arminjoniana,Trindade Petrel,Pterodroma arminjoniana,M,NA,NA,,NA,NA,Temperate Northern Atlantic,Temperate Northern Atlantic,Islands—Oceanic,,Oceans—Pelagic,,7451,Pterodroma arminjoniana,Trindade Petrel,Pterodroma arminjoniana,Pterodroma arminjoniana,Pterodroma arminjoniana
Pterodroma ultima,Murphy's Petrel,Pterodroma ultima,M,NA,NA,,NA,NA,Eastern Indo-Pacific,Tropical Eastern Pacific,Islands—Oceanic,,Oceans—Pelagic,,7427,Pterodroma ultima,Murphy's Petrel,Pterodroma ultima,Pterodroma ultima,Pterodroma ultima
Pterodroma inexpectata,Mottled Petrel,Pterodroma inexpectata,M,NA,NA,,NA,NA,Temperate Australasia,Eastern Indo-Pacific,Islands—Oceanic,,Oceans—Pelagic,,7460,Pterodroma inexpectata,Mottled Petrel,Pterodroma inexpectata,Pterodroma inexpectata,Pterodroma inexpectata
Pterodroma cahow,Bermuda Petrel,Pterodroma cahow,M,NA,NA,,NA,NA,Caribbean,Temperate Northern Atlantic,Islands—Oceanic,,Oceans—Pelagic,,7437,Pterodroma cahow,Bermuda Petrel,Pterodroma cahow,Pterodroma cahow,Pterodroma cahow
Pterodroma hasitata,Black-capped Petrel,Pterodroma hasitata,M,NA,NA,,NA,NA,Caribbean,Temperate Northern Atlantic,Islands—Oceanic,,Oceans—Pelagic,,7438,Pterodroma hasitata,Black-capped Petrel,Pterodroma hasitata,Pterodroma hasitata,Pterodroma hasitata
Pterodroma externa,Juan Fernandez Petrel,Pterodroma externa,M,NA,NA,,NA,NA,Temperate South America,Tropical Eastern Pacific,Islands—Oceanic,,Oceans—Pelagic,,7442,Pterodroma externa,Juan Fernandez Petrel,Pterodroma externa,Pterodroma externa,Pterodroma externa
Pterodroma sandwichensis,Hawaiian Petrel,Pterodroma sandwichensis,M,NA,NA,,NA,NA,Eastern Indo-Pacific,Temperate Northern Pacific,Islands—Oceanic,,Oceans—Pelagic,,7456,Pterodroma sandwichensis,Hawaiian Petrel,Pterodroma sandwichensis,Pterodroma sandwichensis,Pterodroma sandwichensis
Pterodroma feae,Fea's Petrel,Pterodroma feae,M,NA,NA,,NA,NA,Temperate Northern Atlantic,Temperate Northern Atlantic,Islands—Oceanic,,Oceans—Pelagic,,7433,Pterodroma feae,Cape Verde Petrel,Pterodroma feae,Pterodroma feae,Pterodroma feae
Pterodroma cookii,Cook's Petrel,Pterodroma cookii,M,NA,NA,,NA,NA,Temperate Australasia,Pacific Ocean,Islands—Oceanic,,Oceans—Pelagic,,7472,Pterodroma cookii,Cook's Petrel,Pterodroma cookii,Pterodroma cookii,Pterodroma cookii
Pseudobulweria rostrata,Tahiti Petrel,Pseudobulweria rostrata,M,NA,NA,,NA,NA,Eastern Indo-Pacific,Eastern Indo-Pacific,Islands—Oceanic,,Oceans—Pelagic,,7481,Pseudobulweria rostrata,Tahiti Petrel,Pseudobulweria rostrata,Pseudobulweria rostrata,Pseudobulweria rostrata
Bulweria bulwerii,Bulwer's Petrel,Bulweria bulwerii,M,NA,NA,,NA,NA,Widespread,Widespread,Islands—Oceanic,,Oceans—Pelagic,,7571,Bulweria bulwerii,Bulwer's Petrel,Bulweria bulwerii,Bulweria bulwerii,Bulweria bulwerii
Procellaria parkinsoni,Parkinson's Petrel,Procellaria parkinsoni,M,NA,NA,,NA,NA,Temperate Australasia,Tropical Eastern Pacific,Islands—Oceanic,,Oceans—Pelagic,,7492,Procellaria parkinsoni,Black Petrel,Procellaria parkinsoni,Procellaria parkinsoni,Procellaria parkinsoni
